apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
60.0,93.75,3080.0,120.0
61.0,94.53,3130.0,121.0
62.0,94.53,3180.0,121.0
63.0,94.53,3230.0,121.0
64.0,94.53,3280.0,121.0
65.0,94.53,3330.0,121.0
66.0,94.53,3390.0,121.0
67.0,94.53,3440.0,121.0
68.0,94.53,3490.0,121.0
69.0,94.53,3540.0,121.0
70.0,94.53,3590.0,121.0
71.0,94.53,3640.0,121.0
72.0,94.53,3700.0,121.0


jfreechart-1.0.19
prec_read,perc_found,total_read,total_found
1.0,19.23,20.0,20.0
2.0,33.65,40.0,35.0
3.0,45.19,60.0,47.0
4.0,59.62,80.0,62.0
5.0,73.08,100.0,76.0
6.0,81.73,130.0,85.0
7.0,84.62,150.0,88.0
8.0,85.58,170.0,89.0
9.0,85.58,190.0,89.0
10.0,85.58,210.0,89.0
11.0,88.46,240.0,92.0
12.0,92.31,260.0,96.0
13.0,93.27,280.0,97.0
14.0,93.27,300.0,97.0
15.0,93.27,320.0,97.0
16.0,93.27,350.0,97.0
17.0,93.27,370.0,97.0
18.0,94.23,390.0,98.0
19.0,94.23,410.0,98.0
20.0,94.23,430.0,98.0
21.0,94.23,460.0,98.0
22.0,94.23,480.0,98.0
23.0,94.23,500.0,98.0
24.0,94.23,520.0,98.0
25.0,94.23,540.0,98.0
26.0,94.23,570.0,98.0
27.0,94.23,590.0,98.0
28.0,94.23,610.0,98.0
29.0,94.23,630.0,98.0
30.0,94.23,660.0,98.0
31.0,94.23,680.0,98.0
32.0,94.23,700.0,98.0
33.0,94.23,720.0,98.0
34.0,94.23,740.0,98.0
35.0,94.23,770.0,98.0
36.0,94.23,790.0,98.0
37.0,94.23,810.0,98.0
38.0,94.23,830.0,98.0
39.0,94.23,850.0,98.0
40.0,94.23,880.0,98.0
41.0,94.23,900.0,98.0
42.0,94.23,920.0,98.0
43.0,94.23,940.0,98.0
44.0,94.23,960.0,98.0
45.0,94.23,990.0,98.0
46.0,94.23,1010.0,98.0
47.0,94.23,1030.0,98.0
48.0,94.23,1050.0,98.0
49.0,94.23,1070.0,98.0
50.0,95.19,1100.0,99.0


jruby-1.4.0
prec_read,perc_found,total_read,total_found
1.0,6.43,20.0,20.0
2.0,12.54,40.0,39.0
3.0,20.58,70.0,64.0
4.0,26.37,90.0,82.0
5.0,34.41,120.0,107.0
6.0,40.19,140.0,125.0
7.0,46.3,160.0,144.0
8.0,54.02,190.0,168.0
9.0,59.81,210.0,186.0
10.0,67.85,240.0,211.0
11.0,73.31,260.0,228.0
12.0,81.03,290.0,252.0
13.0,85.85,310.0,267.0
14.0,91.0,340.0,283.0
15.0,93.25,360.0,290.0
16.0,93.57,380.0,291.0
17.0,94.21,410.0,293.0
18.0,94.21,430.0,293.0
19.0,94.86,460.0,295.0


sql12
prec_read,perc_found,total_read,total_found
1.0,6.99,20.0,10.0
2.0,34.27,60.0,49.0
3.0,59.44,100.0,85.0
4.0,67.13,130.0,96.0
5.0,75.52,170.0,108.0
6.0,77.62,200.0,111.0
7.0,82.52,240.0,118.0
8.0,83.22,280.0,119.0
9.0,83.92,310.0,120.0
10.0,86.01,350.0,123.0
11.0,86.01,380.0,123.0
12.0,87.41,420.0,125.0
13.0,87.41,460.0,125.0
14.0,87.41,490.0,125.0
15.0,88.11,530.0,126.0
16.0,88.11,560.0,126.0
17.0,88.11,600.0,126.0
18.0,88.81,640.0,127.0
19.0,89.51,670.0,128.0
20.0,90.91,710.0,130.0
21.0,90.91,740.0,130.0
22.0,91.61,780.0,131.0
23.0,93.01,820.0,133.0
24.0,93.71,850.0,134.0
25.0,93.71,890.0,134.0
26.0,94.41,920.0,135.0
27.0,94.41,960.0,135.0
28.0,94.41,1000.0,135.0
29.0,94.41,1030.0,135.0
30.0,95.1,1070.0,136.0


