apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
5.0,78.07,190.0,146.0
6.0,78.61,230.0,147.0
7.0,78.61,270.0,147.0
8.0,79.14,310.0,148.0
9.0,79.14,350.0,148.0
10.0,79.14,390.0,148.0
11.0,79.68,430.0,149.0
12.0,79.68,470.0,149.0
13.0,79.68,510.0,149.0
14.0,79.68,550.0,149.0
15.0,79.68,590.0,149.0
16.0,80.21,630.0,150.0
17.0,80.21,670.0,150.0
18.0,80.21,710.0,150.0
19.0,80.75,750.0,151.0
20.0,80.75,790.0,151.0
21.0,81.28,830.0,152.0
22.0,81.28,870.0,152.0
23.0,81.28,910.0,152.0
24.0,81.82,950.0,153.0
25.0,82.35,990.0,154.0
26.0,82.35,1030.0,154.0
27.0,82.89,1070.0,155.0
28.0,83.42,1110.0,156.0
29.0,83.96,1150.0,157.0
30.0,84.49,1190.0,158.0
31.0,84.49,1230.0,158.0
32.0,85.03,1270.0,159.0
33.0,85.03,1310.0,159.0
34.0,85.03,1350.0,159.0
35.0,85.03,1390.0,159.0
36.0,85.56,1430.0,160.0
37.0,85.56,1480.0,160.0
38.0,85.56,1520.0,160.0
39.0,86.1,1560.0,161.0
40.0,86.1,1600.0,161.0
41.0,86.1,1640.0,161.0
42.0,86.1,1680.0,161.0
43.0,86.1,1720.0,161.0
44.0,86.1,1760.0,161.0
45.0,87.17,1800.0,163.0
46.0,87.17,1840.0,163.0
47.0,87.17,1880.0,163.0
48.0,87.17,1920.0,163.0
49.0,87.17,1960.0,163.0
50.0,87.17,2000.0,163.0
51.0,87.17,2040.0,163.0
52.0,87.17,2080.0,163.0
53.0,87.7,2120.0,164.0
54.0,88.24,2160.0,165.0
55.0,88.77,2200.0,166.0
56.0,88.77,2240.0,166.0
57.0,89.3,2280.0,167.0
58.0,89.3,2320.0,167.0
59.0,89.84,2360.0,168.0
60.0,90.37,2400.0,169.0
61.0,90.37,2440.0,169.0
62.0,90.37,2480.0,169.0
63.0,90.37,2520.0,169.0
64.0,90.37,2560.0,169.0
65.0,90.37,2600.0,169.0
66.0,91.44,2640.0,171.0
67.0,91.98,2680.0,172.0
68.0,91.98,2720.0,172.0
69.0,91.98,2760.0,172.0
70.0,91.98,2800.0,172.0
71.0,92.51,2840.0,173.0
72.0,93.05,2890.0,174.0
73.0,93.05,2930.0,174.0
74.0,93.05,2970.0,174.0
75.0,93.05,3010.0,174.0
76.0,93.05,3050.0,174.0
77.0,93.05,3090.0,174.0
78.0,93.05,3130.0,174.0
79.0,93.58,3170.0,175.0
80.0,93.58,3210.0,175.0
81.0,93.58,3250.0,175.0
82.0,93.58,3290.0,175.0
83.0,93.58,3330.0,175.0
84.0,94.12,3370.0,176.0
85.0,94.65,3410.0,177.0


argouml
prec_read,perc_found,total_read,total_found
1.0,3.82,30.0,27.0
2.0,9.92,80.0,70.0
3.0,15.01,120.0,106.0
4.0,21.39,170.0,151.0
5.0,27.48,220.0,194.0
6.0,32.58,260.0,230.0
7.0,38.67,310.0,273.0
8.0,45.04,360.0,318.0
9.0,51.27,410.0,362.0
10.0,56.37,450.0,398.0
11.0,63.03,500.0,445.0
12.0,69.12,550.0,488.0
13.0,75.35,600.0,532.0
14.0,80.31,640.0,567.0
15.0,84.28,690.0,595.0
16.0,84.42,740.0,596.0
17.0,84.42,780.0,596.0
18.0,84.42,830.0,596.0
19.0,84.42,880.0,596.0
20.0,84.42,930.0,596.0
21.0,84.42,970.0,596.0
22.0,84.84,1020.0,599.0
23.0,85.27,1070.0,602.0
24.0,85.41,1120.0,603.0
25.0,85.84,1160.0,606.0
26.0,86.12,1210.0,608.0
27.0,86.4,1260.0,610.0
28.0,86.69,1300.0,612.0
29.0,86.69,1350.0,612.0
30.0,86.69,1400.0,612.0
31.0,86.83,1450.0,613.0
32.0,87.25,1490.0,616.0
33.0,87.25,1540.0,616.0
34.0,87.39,1590.0,617.0
35.0,87.54,1640.0,618.0
36.0,87.68,1680.0,619.0
37.0,88.39,1730.0,624.0
38.0,88.53,1780.0,625.0
39.0,88.95,1820.0,628.0
40.0,89.24,1870.0,630.0
41.0,89.66,1920.0,633.0
42.0,89.94,1970.0,635.0
43.0,90.08,2010.0,636.0
44.0,90.23,2060.0,637.0
45.0,90.37,2110.0,638.0
