apache-ant-1.7.0
prec_read,perc_found,total_read,total_found
9.52,46.43,900.0,656.0
9.63,47.06,910.0,665.0
9.73,47.56,920.0,672.0
9.84,48.05,930.0,679.0
9.94,48.69,940.0,688.0
10.05,49.26,950.0,696.0
10.16,49.75,960.0,703.0
10.26,50.25,970.0,710.0
10.37,50.88,980.0,719.0
10.47,51.59,990.0,729.0
10.58,52.3,1000.0,739.0
10.69,53.01,1010.0,749.0
10.79,53.72,1020.0,759.0
10.9,54.14,1030.0,765.0
11.0,54.49,1040.0,770.0
11.11,55.06,1050.0,778.0
11.21,55.48,1060.0,784.0
11.32,56.12,1070.0,793.0
11.43,56.62,1080.0,800.0
11.53,57.04,1090.0,806.0
11.64,57.54,1100.0,813.0
11.74,58.03,1110.0,820.0
11.85,58.39,1120.0,825.0
11.96,58.81,1130.0,831.0
12.06,59.38,1140.0,839.0
12.17,59.87,1150.0,846.0
12.27,60.37,1160.0,853.0
12.38,60.79,1170.0,859.0
12.48,61.29,1180.0,866.0
12.59,61.92,1190.0,875.0
12.7,62.49,1200.0,883.0
12.8,62.92,1210.0,889.0
12.91,63.34,1220.0,895.0
13.01,63.98,1230.0,904.0
13.12,64.54,1240.0,912.0
13.22,65.25,1250.0,922.0
13.33,65.75,1260.0,929.0
13.44,66.31,1270.0,937.0
13.54,66.74,1280.0,943.0
13.65,67.02,1290.0,947.0
13.75,67.37,1300.0,952.0
13.86,67.52,1310.0,954.0
13.97,67.87,1320.0,959.0
14.07,68.22,1330.0,964.0
14.18,68.65,1340.0,970.0
14.28,69.36,1350.0,980.0
14.39,70.06,1360.0,990.0
14.49,70.56,1370.0,997.0
14.6,71.05,1380.0,1004.0
14.71,71.41,1390.0,1009.0
14.81,72.12,1400.0,1019.0
14.92,72.4,1410.0,1023.0
15.02,72.68,1420.0,1027.0
15.13,73.11,1430.0,1033.0
15.23,73.74,1440.0,1042.0
15.34,74.17,1450.0,1048.0
15.45,74.59,1460.0,1054.0
15.55,74.66,1470.0,1055.0
15.66,75.23,1480.0,1063.0
15.76,75.8,1490.0,1071.0
15.87,76.22,1500.0,1077.0
15.98,76.86,1510.0,1086.0
