2019-02-07 19:33:32,714 - INFO - rig - jruby-1.4.0
2019-02-07 19:33:42,005 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:42,005 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 19:41:32,382 - INFO - quickread - 602, 1248  1438
2019-02-07 19:41:32,556 - INFO - quickread - 603, 1272  1433
2019-02-07 19:41:32,747 - INFO - quickread - 603, 1296  1427
2019-02-07 19:41:32,939 - INFO - quickread - 603, 1320  1422
2019-02-07 19:41:33,114 - INFO - quickread - 603, 1344  1416
2019-02-07 19:41:33,295 - INFO - quickread - 603, 1368  1410
2019-02-07 19:41:33,480 - INFO - quickread - 603, 1392  1405
2019-02-07 19:41:33,663 - INFO - quickread - 604, 1416  1400
2019-02-07 19:41:33,835 - INFO - quickread - 606, 1440  1396
2019-02-07 19:41:34,037 - INFO - quickread - 606, 1464  1390
2019-02-07 19:41:34,219 - INFO - quickread - 608, 1488  1387
2019-02-07 19:41:34,410 - INFO - quickread - 609, 1512  1382
2019-02-07 19:41:34,598 - INFO - quickread - 610, 1536  1376
2019-02-07 19:41:34,776 - INFO - quickread - 612, 1560  1373
2019-02-07 19:41:35,052 - INFO - quickread - 615, 1584  1370
2019-02-07 19:41:35,228 - INFO - quickread - 615, 1608  1364
2019-02-07 19:41:35,429 - INFO - quickread - 615, 1632  1358
2019-02-07 19:41:35,686 - INFO - quickread - 615, 1656  1352
2019-02-07 19:41:35,922 - INFO - quickread - 615, 1680  1347
2019-02-07 19:41:36,213 - INFO - quickread - 618, 1704  1344
2019-02-07 19:41:36,429 - INFO - quickread - 618, 1728  1338
2019-02-07 19:41:36,628 - INFO - quickread - 618, 1752  1332
2019-02-07 19:41:36,866 - INFO - quickread - 618, 1776  1327
2019-02-07 19:41:37,074 - INFO - quickread - 618, 1800  1321
2019-02-07 19:41:37,304 - INFO - quickread - 619, 1824  1316
2019-02-07 19:41:37,541 - INFO - quickread - 619, 1848  1311
2019-02-07 19:41:37,766 - INFO - quickread - 619, 1872  1305
2019-02-07 19:41:38,011 - INFO - quickread - 619, 1896  1299
2019-02-07 19:41:38,253 - INFO - quickread - 619, 1920  1293
2019-02-07 19:41:38,476 - INFO - quickread - 619, 1944  1288
2019-02-07 19:41:38,663 - INFO - quickread - 619, 1968  1273
2019-02-07 19:41:38,858 - INFO - quickread - 619, 1992  1266
2019-02-07 19:41:39,062 - INFO - quickread - 621, 2016  1260
2019-02-07 19:41:39,295 - INFO - quickread - 621, 2040  1254
2019-02-07 19:41:39,429 - INFO - quickread - 621, 2064  1129
2019-02-07 19:41:39,591 - INFO - quickread - 621, 2088  1123
2019-02-07 19:41:39,813 - INFO - quickread - 621, 2112  1119
2019-02-07 19:41:39,949 - INFO - quickread - 621, 2136  1114
2019-02-07 19:41:40,075 - INFO - quickread - 621, 2160  1109
2019-02-07 19:41:40,221 - INFO - quickread - 621, 2184  1104
2019-02-07 19:41:40,346 - INFO - quickread - 621, 2208  1100
2019-02-07 19:41:40,469 - INFO - quickread - 621, 2232  1095
2019-02-07 19:41:40,470 - INFO - quickread - 621, 2232  1095
2019-02-07 19:41:40,470 - INFO - quickread - IGNORE jruby-1.4.0 NO IMPROVEMENT after 9 loops. EXITING. Current estimate: 1095
2019-02-07 19:41:40,494 - INFO - quickread - IGNORE jruby-1.4.0 | Total: 4898 | Percent Checked: 0.46 | Total Yes Data: 622 | Percent Yes Checked: 1.0
2019-02-07 19:41:40,496 - INFO - rig - ++++NEW CLF++++ SVM
2019-02-07 19:41:40,496 - INFO - quickread - Total Yes: 622 | Total No: 4275
