2019-02-07 17:29:57,576 - INFO - rig - argouml
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:30:01,205 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 17:35:33,111 - INFO - fastread - 1413, 7473  1653
2019-02-07 17:35:33,201 - INFO - fastread - 1413, 7520  1647
2019-02-07 17:35:33,263 - INFO - fastread - 1413, 7567  1639
2019-02-07 17:35:33,333 - INFO - fastread - 1413, 7614  1632
2019-02-07 17:35:33,424 - INFO - fastread - 1413, 7661  1624
2019-02-07 17:35:33,545 - INFO - fastread - 1413, 7708  1616
2019-02-07 17:35:33,614 - INFO - fastread - 1413, 7755  1608
2019-02-07 17:35:33,686 - INFO - fastread - 1413, 7802  1600
2019-02-07 17:35:33,747 - INFO - fastread - 1413, 7849  1593
2019-02-07 17:35:33,828 - INFO - fastread - 1413, 7896  1585
2019-02-07 17:35:33,916 - INFO - fastread - 1413, 7943  1577
2019-02-07 17:35:33,977 - INFO - fastread - 1413, 7990  1569
2019-02-07 17:35:34,039 - INFO - fastread - 1413, 8037  1561
2019-02-07 17:35:34,109 - INFO - fastread - 1413, 8084  1554
2019-02-07 17:35:34,180 - INFO - fastread - 1413, 8131  1546
2019-02-07 17:35:34,279 - INFO - fastread - 1413, 8178  1539
2019-02-07 17:35:34,331 - INFO - fastread - 1413, 8225  1531
2019-02-07 17:35:34,400 - INFO - fastread - 1413, 8272  1523
2019-02-07 17:35:34,472 - INFO - fastread - 1413, 8319  1516
2019-02-07 17:35:34,541 - INFO - fastread - 1413, 8366  1508
2019-02-07 17:35:34,634 - INFO - fastread - 1413, 8413  1501
2019-02-07 17:35:34,704 - INFO - fastread - 1413, 8460  1492
2019-02-07 17:35:34,774 - INFO - fastread - 1413, 8507  1483
2019-02-07 17:35:34,875 - INFO - fastread - 1413, 8554  1476
2019-02-07 17:35:34,965 - INFO - fastread - 1413, 8601  1463
2019-02-07 17:35:35,026 - INFO - fastread - 1413, 8648  1451
2019-02-07 17:35:35,116 - INFO - fastread - 1413, 8695  1444
2019-02-07 17:35:35,165 - INFO - fastread - 1413, 8742  1438
2019-02-07 17:35:35,215 - INFO - fastread - 1413, 8789  1431
2019-02-07 17:35:35,268 - INFO - fastread - 1413, 8836  1425
2019-02-07 17:35:35,316 - INFO - fastread - 1413, 8883  1419
2019-02-07 17:35:35,379 - INFO - fastread - 1413, 8930  1412
2019-02-07 17:35:35,409 - INFO - fastread - IGNORE argouml | Total: 9452 | Percent Checked: 0.94 | Total Yes Data: 1413 | Percent Yes Checked: 1.0
