2019-02-07 17:09:16,046 - INFO - rig - columba-1.4-src
2019-02-07 17:11:29,846 - INFO - fastread - 203, 3008  414
2019-02-07 17:11:29,979 - INFO - fastread - 203, 3040  409
2019-02-07 17:11:30,240 - INFO - fastread - 203, 3072  406
2019-02-07 17:11:30,391 - INFO - fastread - 203, 3104  401
2019-02-07 17:11:30,562 - INFO - fastread - 203, 3136  399
2019-02-07 17:11:30,696 - INFO - fastread - 203, 3168  395
2019-02-07 17:11:30,817 - INFO - fastread - 203, 3200  392
2019-02-07 17:11:30,925 - INFO - fastread - 203, 3232  389
2019-02-07 17:11:31,077 - INFO - fastread - 203, 3264  386
2019-02-07 17:11:31,183 - INFO - fastread - 203, 3296  381
2019-02-07 17:11:31,299 - INFO - fastread - 203, 3328  379
2019-02-07 17:11:31,411 - INFO - fastread - 204, 3360  378
2019-02-07 17:11:31,491 - INFO - fastread - 204, 3392  374
2019-02-07 17:11:31,589 - INFO - fastread - 204, 3424  371
2019-02-07 17:11:31,692 - INFO - fastread - 204, 3456  368
2019-02-07 17:11:31,786 - INFO - fastread - 204, 3488  365
2019-02-07 17:11:31,873 - INFO - fastread - 204, 3520  362
2019-02-07 17:11:32,037 - INFO - fastread - 204, 3552  360
2019-02-07 17:11:32,133 - INFO - fastread - 204, 3584  357
2019-02-07 17:11:32,235 - INFO - fastread - 204, 3616  354
2019-02-07 17:11:32,309 - INFO - fastread - 204, 3648  350
2019-02-07 17:11:32,404 - INFO - fastread - 204, 3680  348
2019-02-07 17:11:32,479 - INFO - fastread - 204, 3712  345
2019-02-07 17:11:32,567 - INFO - fastread - 204, 3744  342
2019-02-07 17:11:32,691 - INFO - fastread - 204, 3776  341
2019-02-07 17:11:32,779 - INFO - fastread - 204, 3808  338
2019-02-07 17:11:32,858 - INFO - fastread - 204, 3840  335
2019-02-07 17:11:32,957 - INFO - fastread - 204, 3872  332
2019-02-07 17:11:33,080 - INFO - fastread - 204, 3904  330
2019-02-07 17:11:33,188 - INFO - fastread - 204, 3936  328
2019-02-07 17:11:33,277 - INFO - fastread - 204, 3968  325
2019-02-07 17:11:33,369 - INFO - fastread - 204, 4000  323
2019-02-07 17:11:33,464 - INFO - fastread - 204, 4032  321
2019-02-07 17:11:33,560 - INFO - fastread - 204, 4064  319
2019-02-07 17:11:33,749 - INFO - fastread - 204, 4096  317
2019-02-07 17:11:33,847 - INFO - fastread - 204, 4128  314
2019-02-07 17:11:33,954 - INFO - fastread - 204, 4160  312
2019-02-07 17:11:34,070 - INFO - fastread - 204, 4192  309
2019-02-07 17:11:34,172 - INFO - fastread - 204, 4224  307
2019-02-07 17:11:34,267 - INFO - fastread - 204, 4256  305
2019-02-07 17:11:34,347 - INFO - fastread - 204, 4288  304
