2019-02-07 17:17:50,401 - INFO - rig - apache-ant-1.7.0
2019-02-07 17:19:24,979 - INFO - fastread - 130, 3360  159
2019-02-07 17:19:25,009 - INFO - fastread - 130, 3380  157
2019-02-07 17:19:25,035 - INFO - fastread - 130, 3400  156
2019-02-07 17:19:25,064 - INFO - fastread - 130, 3420  155
2019-02-07 17:19:25,095 - INFO - fastread - 130, 3440  154
2019-02-07 17:19:25,127 - INFO - fastread - 130, 3460  153
2019-02-07 17:19:25,175 - INFO - fastread - 131, 3480  153
2019-02-07 17:19:25,209 - INFO - fastread - 131, 3500  152
2019-02-07 17:19:25,241 - INFO - fastread - 131, 3520  152
2019-02-07 17:19:25,270 - INFO - fastread - 131, 3540  150
2019-02-07 17:19:25,298 - INFO - fastread - 131, 3560  149
2019-02-07 17:19:25,330 - INFO - fastread - 131, 3580  148
2019-02-07 17:19:25,358 - INFO - fastread - 131, 3600  147
2019-02-07 17:19:25,388 - INFO - fastread - 131, 3620  146
2019-02-07 17:19:25,419 - INFO - fastread - 131, 3640  145
2019-02-07 17:19:25,444 - INFO - fastread - 131, 3660  144
2019-02-07 17:19:25,469 - INFO - fastread - 131, 3680  143
2019-02-07 17:19:25,496 - INFO - fastread - 131, 3700  142
2019-02-07 17:19:25,515 - INFO - fastread - 131, 3720  141
2019-02-07 17:19:25,541 - INFO - fastread - 131, 3740  140
2019-02-07 17:19:25,564 - INFO - fastread - 131, 3760  139
2019-02-07 17:19:25,591 - INFO - fastread - 131, 3780  138
2019-02-07 17:19:25,617 - INFO - fastread - 131, 3800  137
2019-02-07 17:19:25,646 - INFO - fastread - 131, 3820  136
2019-02-07 17:19:25,675 - INFO - fastread - 131, 3840  135
2019-02-07 17:19:25,696 - INFO - fastread - 131, 3860  134
2019-02-07 17:19:25,722 - INFO - fastread - 131, 3880  133
2019-02-07 17:19:25,751 - INFO - fastread - 131, 3900  133
2019-02-07 17:19:25,778 - INFO - fastread - 131, 3920  132
2019-02-07 17:19:25,799 - INFO - fastread - 131, 3940  131
2019-02-07 17:19:25,815 - INFO - fastread - IGNORE apache-ant-1.7.0 | Total: 4098 | Percent Checked: 0.96 | Total Yes Data: 131 | Percent Yes Checked: 1.0
