2019-02-07 14:39:57,373 - INFO - fastread - 82, 100
2019-02-07 14:39:57,381 - INFO - fastread - 91, 110
2019-02-07 14:39:57,384 - INFO - fastread - 101, 120
2019-02-07 14:39:57,384 - INFO - fastread - 110, 130
2019-02-07 14:39:57,392 - INFO - fastread - 118, 140
2019-02-07 14:39:57,394 - INFO - fastread - 127, 150
2019-02-07 14:39:57,394 - INFO - fastread - 135, 160
2019-02-07 14:39:57,402 - INFO - fastread - 143, 170
2019-02-07 14:39:57,404 - INFO - fastread - 150, 180
2019-02-07 14:39:57,404 - INFO - fastread - 158, 190
2019-02-07 14:39:57,412 - INFO - fastread - 165, 200
2019-02-07 14:39:57,414 - INFO - fastread - 171, 210
2019-02-07 14:39:57,414 - INFO - fastread - 174, 220
2019-02-07 14:39:57,414 - INFO - fastread - 180, 230
2019-02-07 14:39:57,414 - INFO - fastread - 180, 240
2019-02-07 14:39:57,422 - INFO - fastread - 184, 250
2019-02-07 14:39:57,424 - INFO - fastread - 188, 260
2019-02-07 14:39:57,424 - INFO - fastread - 190, 270
2019-02-07 14:39:57,424 - INFO - fastread - 190, 280
2019-02-07 14:39:57,424 - INFO - fastread - 193, 290
2019-02-07 14:39:57,434 - INFO - fastread - 193, 300
2019-02-07 14:39:57,434 - INFO - fastread - 194, 310
2019-02-07 14:39:57,442 - INFO - fastread - IGNORE columba-1.4-src | Total: 6468 | Percent Checked: 0.05 | Total Yes Data: 204 | Percent Yes Checked: 0.95
2019-02-07 14:51:09,436 - INFO - rig - columba-1.4-src
2019-02-07 14:51:12,668 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 14:51:12,668 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-02-07 14:51:12,861 - INFO - fastread - 0, 0  475
2019-02-07 14:51:21,394 - INFO - fastread - 131, 141  475
2019-02-07 14:51:23,920 - INFO - fastread - 146, 173  216
2019-02-07 14:51:26,515 - INFO - fastread - 151, 205  243
2019-02-07 14:51:29,121 - INFO - fastread - 154, 237  235
2019-02-07 14:51:31,650 - INFO - fastread - 160, 269  225
2019-02-07 14:51:34,240 - INFO - fastread - 163, 301  229
2019-02-07 14:51:36,902 - INFO - fastread - 169, 333  224
2019-02-07 14:51:39,449 - INFO - fastread - 184, 365  232
2019-02-07 14:51:42,010 - INFO - fastread - 191, 397  238
2019-02-07 14:51:44,585 - INFO - fastread - 191, 429  253
2019-02-07 14:51:47,145 - INFO - fastread - 192, 461  245
2019-02-07 14:51:49,761 - INFO - fastread - 192, 493  240
2019-02-07 14:51:52,368 - INFO - fastread - 192, 525  233
2019-02-07 14:51:54,983 - INFO - fastread - 192, 557  233
2019-02-07 14:51:57,518 - INFO - fastread - 192, 589  228
2019-02-07 14:52:03,935 - INFO - fastread - 192, 684  224
2019-02-07 14:52:10,411 - INFO - fastread - 192, 777  220
2019-02-07 14:52:12,964 - INFO - fastread - 193, 809  223
2019-02-07 14:52:15,553 - INFO - fastread - 194, 841  222
2019-02-07 14:52:18,120 - INFO - fastread - 194, 873  219
2019-02-07 14:52:20,796 - INFO - fastread - 195, 905  228
2019-02-07 14:52:23,383 - INFO - fastread - 196, 937  217
2019-02-07 14:52:25,993 - INFO - fastread - 196, 969  222
2019-02-07 14:52:28,740 - INFO - fastread - 196, 1001  227
