2019-02-07 15:02:34,704 - INFO - fastread - 252, 3558  272
2019-02-07 15:02:39,812 - INFO - fastread - 252, 3609  273
2019-02-07 15:02:44,944 - INFO - fastread - 252, 3660  272
2019-02-07 15:02:50,087 - INFO - fastread - 252, 3711  273
2019-02-07 15:03:01,537 - INFO - fastread - 252, 3842  271
2019-02-07 15:03:13,062 - INFO - fastread - 252, 3981  273
2019-02-07 15:03:24,539 - INFO - fastread - 252, 4119  273
2019-02-07 15:03:29,818 - INFO - fastread - 252, 4170  273
2019-02-07 15:03:29,818 - INFO - fastread - IGNORE jEdit-4.2 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 288
2019-02-07 15:03:29,828 - INFO - fastread - IGNORE jEdit-4.2 | Total: 10322 | Percent Checked: 0.4 | Total Yes Data: 256 | Percent Yes Checked: 0.98
2019-02-07 15:03:29,828 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 15:03:29,828 - INFO - quickread - Total Yes: 256 | Total No: 10066
2019-02-07 15:03:30,041 - INFO - quickread - 0, 0  475
2019-02-07 15:03:33,271 - INFO - quickread - 2, 51  475
2019-02-07 15:03:36,423 - INFO - quickread - 4, 101  475
2019-02-07 15:03:39,551 - INFO - quickread - 5, 151  475
2019-02-07 15:03:43,156 - INFO - quickread - 44, 202  74
2019-02-07 15:03:46,957 - INFO - quickread - 73, 253  107
2019-02-07 15:03:50,840 - INFO - quickread - 99, 304  138
2019-02-07 15:03:54,524 - INFO - quickread - 123, 355  159
2019-02-07 15:03:58,101 - INFO - quickread - 142, 406  184
2019-02-07 15:04:01,606 - INFO - quickread - 149, 457  205
2019-02-07 15:04:05,100 - INFO - quickread - 163, 508  196
2019-02-07 15:04:08,613 - INFO - quickread - 168, 559  212
2019-02-07 15:04:12,018 - INFO - quickread - 180, 610  205
2019-02-07 15:04:15,418 - INFO - quickread - 184, 661  218
2019-02-07 15:04:18,748 - INFO - quickread - 196, 712  210
2019-02-07 15:04:22,204 - INFO - quickread - 200, 763  228
2019-02-07 15:04:25,592 - INFO - quickread - 206, 814  224
2019-02-07 15:04:29,050 - INFO - quickread - 212, 865  227
2019-02-07 15:04:32,444 - INFO - quickread - 215, 916  231
2019-02-07 15:04:35,723 - INFO - quickread - 219, 967  229
2019-02-07 15:04:39,185 - INFO - quickread - 223, 1018  231
2019-02-07 15:04:42,450 - INFO - quickread - 227, 1069  234
2019-02-07 15:04:45,713 - INFO - quickread - 227, 1120  237
2019-02-07 15:04:48,939 - INFO - quickread - 228, 1171  233
2019-02-07 15:04:52,173 - INFO - quickread - 229, 1222  231
2019-02-07 15:04:55,388 - INFO - quickread - 234, 1273  230
2019-02-07 15:04:59,021 - INFO - quickread - 235, 1324  238
2019-02-07 15:05:03,523 - INFO - quickread - 237, 1375  237
2019-02-07 15:05:07,264 - INFO - quickread - 240, 1426  238
2019-02-07 15:05:10,978 - INFO - quickread - 242, 1477  242
2019-02-07 15:05:14,714 - INFO - quickread - 243, 1528  244
2019-02-07 15:05:18,786 - INFO - quickread - 243, 1579  244
2019-02-07 15:05:28,335 - INFO - quickread - 243, 1710  242
2019-02-07 15:05:31,549 - INFO - quickread - 249, 1761  241
2019-02-07 15:05:31,549 - INFO - quickread - IGNORE jEdit-4.2 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 254
2019-02-07 15:05:31,561 - INFO - quickread - IGNORE jEdit-4.2 | Total: 10322 | Percent Checked: 0.17 | Total Yes Data: 256 | Percent Yes Checked: 0.97
