,perc_read,FASTREAD,ENSEMBLE_DT,ENSEMBLE_NBM,NBM,KNN,DT,SVM,SVM_LINER
69,69,,100.0,98.53,98.53,82.35,96.08,99.02,99.51
70,70,,100.0,99.02,98.53,83.33,96.08,99.02,99.51
71,71,,100.0,99.02,98.53,84.31,96.57,99.02,99.51
72,72,,100.0,99.02,98.53,84.8,97.06,99.51,99.51
73,73,,100.0,99.02,98.53,85.29,97.06,99.51,99.51
74,74,,100.0,99.02,98.53,86.27,97.06,99.51,100.0
75,75,,100.0,99.02,99.02,86.27,97.06,99.51,100.0
76,76,,100.0,99.02,99.02,86.27,97.06,99.51,100.0
77,77,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
78,78,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
79,79,,100.0,99.02,99.02,87.25,97.55,99.51,100.0
80,80,,100.0,99.02,99.02,87.75,97.55,99.51,100.0
81,81,,100.0,99.02,99.02,89.71,98.04,99.51,100.0
82,82,,,99.02,99.02,90.2,98.04,99.51,100.0
83,83,,,99.51,99.02,90.69,98.04,99.51,100.0
84,84,,,99.51,99.02,90.69,98.53,99.51,100.0
85,85,,,99.51,99.02,91.18,98.53,99.51,100.0
86,86,,,99.51,99.02,91.18,98.53,99.51,100.0
87,87,,,99.51,100.0,92.16,98.53,99.51,100.0
88,88,,,99.51,100.0,94.12,99.51,99.51,100.0
89,89,,,99.51,100.0,95.1,99.51,99.51,100.0
90,90,,,99.51,100.0,95.1,99.51,99.51,100.0
91,91,,,100.0,100.0,95.59,99.51,99.51,100.0
92,92,,,100.0,100.0,96.57,99.51,99.51,100.0
93,93,,,100.0,100.0,97.06,99.51,99.51,100.0
94,94,,,100.0,100.0,97.55,99.51,99.51,100.0
95,95,,,100.0,100.0,97.55,99.51,99.51,100.0
96,96,,,100.0,100.0,98.04,99.51,99.51,100.0
97,97,,,100.0,100.0,98.04,99.51,99.51,100.0
98,98,,,100.0,100.0,98.53,100.0,100.0,100.0
99,99,,,100.0,100.0,99.02,100.0,100.0,100.0
100,100,,,,,,,,100.0
